Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Syrian Arab Republic,SYR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,135.465,134.745,128.991,107.738,101.69,105.561,97.922,107.757,103.55,..
Guinea,GIN,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,103.3,101.5,99.7,97.6,95.3,92.8,90.3,87.7,85.1,..
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.41562653,99.21932983,100.3733368,101.9893494,101.4994507,102.987999,101.5737762,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,..
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,104.5502701,101.2648926,105.1641318,..
San Marino,SMR,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,95.12605042,94.61934745,94.40518257,93.57357357,93.9375,95.12036435,93.5309973,..
Suriname,SUR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.862,68.16,68.333,68.638,68.639,66.041,70.063,70.458,70.595,..
Slovenia,SVN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,6.430411644,11.07037672,6.155380295,4.480615307,-8.530735655,14.12140281,7.437363299,-1.912432938,2.336043745,..
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.677802776,3.079851269,3.406873483,4.01789785,-1.785551751,8.041703782,4.184518172,3.533157518,3.651863829,..
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1.37278E+11,1.66806E+11,1.7934E+11,1.81667E+11,1.71082E+11,1.97112E+11,2.25496E+11,2.6184E+11,2.9148E+11,..
Japan,JPN,Urban population growth (annual %),SP.URB.GROW,0.059209767,0.022730899,-0.030923721,-0.054632242,-0.223815566,-0.358552906,-0.331208529,-0.373238085,-0.31899637,..
"Korea, Rep.",KOR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,648.8158,665.288,680.496,654.9901,617.3408,638.7702,613.5467,590.365,588.0089,..
Brazil,BRA,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,144.3141,145.5172,143.1103,145.5649,153.3546,159.6406,162.1731,167.2598,169.1332,..
El Salvador,SLV,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,0.9981,1.0405,0.9841,0.9686,1.086,0.9816,0.9604,0.9521,0.9496,..
Montenegro,MNE,Urban population,SP.URB.TOTL,405918,406884,407720,408447,408844,408326,407837,408244,408672,..
Saudi Arabia,SAU,"Population, female",SP.POP.TOTL.FE.IN,11509675,11662022,11586701,11674265,12340509,12087819,12633809,13260611,13931115,..
France,FRA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,97.921,95.38,94.2,91.761,92.805,93.228,92.441,88.445,..,..
Turkmenistan,TKM,Population growth (annual %),SP.POP.GROW,2.294521278,2.285307112,2.255929155,2.205525751,2.122655358,2.024445374,1.929227878,1.839701,1.750641118,..
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815,..
Denmark,DNK,"Population, female",SP.POP.TOTL.FE.IN,2879019,2896758,2910981,2921554,2930630,2942923,2967128,2990995,3006104,..
Qatar,QAT,"Population, female",SP.POP.TOTL.FE.IN,609853,637482,663074,704807,779300,705826,748117,756537,820750,..
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,165375.4914,170547.0923,174988.7751,166907.8393,164671.0936,201944.8303,188055.0032,206780.5904,..,..
Jamaica,JAM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.634,7.399,5.47,4.987,6.501,5.188,4.083,3.022,..,..
St. Martin (French part),MAF,"Population, female",SP.POP.TOTL.FE.IN,19762,19592,19078,17899,16650,15912,15336,14658,13979,..
Chad,TCD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,404.329,406.707,400.954,397.412,404.973,417.525,386.516,379.573,378,..
Panama,PAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.74075546,41.47101067,42.34710444,40.21417449,36.26908816,41.60670401,48.02659783,45.62924401,44.35784222,..
Cyprus,CYP,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.05414631,20.3824582,18.94312735,19.49074594,20.64475612,19.64568224,20.5950576,21.47251986,20.67752964,..
"Bahamas, The",BHS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,216.127,214.973,214.439,224.115,225.316,260.776,208.3,207.906,208.114,..
Belarus,BLR,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,3.4,3.2,2.9,2.7,2.5,2.4,2.3,2.1,2,..
Lithuania,LTU,"Population, female",SP.POP.TOTL.FE.IN,1552412,1531533,1514811,1503471,1494406,1488262,1498514,1517536,1525019,..
